Gene,Coef
COX15,0
BATF,0
PPIF,0
PLIN2,0
MYCBP2,-0.029335436
FOSL2,0
MSL2,-0.016825941
MCTS1,0
PIK3C3,0
RGS3,0
UBL3,0
GALNT1,0
RPF1,-0.099494802
PLEC,0
CSAD,0
KDM3A,0
MXRA7,0
CDC40,0
JARID2,0
TRAK2,0
MSRA,0.023373867
IMMT,0
ECE1,0
ASPH,0.089352629
CPT1A,0
MT1X,0
GALNT7,0
RAB33B,0
ROGDI,0
FEZ2,0
PPA1,0
CD27,-0.043807092
WIPF2,0
ATRX,0
E2F3,0
MTMR4,0
KDM5A,0
R3HDM2,0
MMD,0
PHKA2,0
SPTBN1,0
SDHA,0
CYFIP1,0
NLRX1,0
HEXIM1,0
ELK3,0
SETD2,0
ST6GAL1,-0.010142383
TSPAN5,0
CHD4,0
FOXJ3,0
CTSW,0
CDK2AP1,0
IFI35,0
DOK2,0
PMF1,0
STAG1,0
RBM3,0
SGK1,-0.023128418
DCAF6,0
PRDM2,-0.135511246
MT1F,0
TBL1XR1,0
CDKN1A,0
LIN7C,0
CEACAM21,0.037760001
VPS13C,-0.049797271
ITPKB,0
BRD8,0
CNPY2,-0.045506635
ZSWIM8,0
SERINC5,0
ATOX1,0
COMMD3,0
SBNO2,0
SRP19,0
PRKDC,0
ITM2A,-0.053436251
JOSD1,0
GNPTAB,0
PIM2,-0.008740032
VAV3,0
P2RX5,0
KDM6B,0
ATG2A,0
PPP6R1,0
CEP170,0
NDUFB3,0
HPGD,0.030135923
C11orf21,0
ARF6,-0.088580115
GNA15,0.022060642
ZEB2,0.0281956
ARID5B,0
KRCC1,0
ZNF267,0
HLA-DMA,-0.017337088
BPGM,0
CLEC4E,0.037689281
SPAG9,0
APP,0.058519612
HMGA1,0
GSAP,0
CALR,0.055950141
ZBTB11,0
MCFD2,0
CD6,-0.05499163
ZC3H4,0
CBX1,0
KLF10,0
ABCA7,0
ARID5A,0
JUNB,0
NCK2,0
CNOT6,0
RBM7,0
CETN2,0
INSIG1,0
CHD1,0
TIMM8B,0
DHPS,0
ELF2,0
RAB3GAP1,0
CISH,0
USP8,0
BPTF,0
DIP2A,0
SYNCRIP,0
CNP,0
RABGAP1L,0
PFKP,0
SIPA1L1,0
DBI,0
CIR1,0
SLC35E1,0
